"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"50","501",28579,"-1","25,189","-1","18,224","-1","38,383","-1","33,583","1","27,807","1","20,404","1","21,958","-1","22,931","-1","29,884","-1","23,484","5","4","2","3","4","4","2","3","2","4","5","3","3","4","5","1","5"
"51","525",16361,"1","44,073","-1","26,198","-1","21,639","1","19,747","1","31,795","-1","34,883","1","28,695","-1","25,686","-1","23,955","1","28,925","4","3","2","2","2","4","2","2","3","3","5","2","2","3","4","1","5"
"52","237",63239,"1","3,454","1","10,135","-1","10,975","1","9,805","1","4,235","1","19,153","-1","5,49","1","7,276","1","6,844","1","4,78","4","4","3","4","3","3","4","3","4","3","4","4","3","3","5","2","2"
"53","1253",37120,"1","61,95","1","7,641","-1","96,501","1","115,163","1","9,114","1","141,89","1","119,499","1","39","1","142,479","-1","5,22","1","1","1","4","2","2","4","1","1","1","1","1","2","2","1","1","4"
"54","268",15072,"1","6,448","1","8,251","1","15,932","1","12,337","-1","9,962","1","8,526","1","7,404","1","4,447","-1","8,785","1","8,199","3","4","4","4","3","4","3","3","3","2","4","2","3","4","4","1","4"
"55","676",94680,"1","24,772","1","33,228","1","24,897","1","12,711","-1","15,878","1","35,183","1","73,333","1","24,596","1","30,276","-1","30,746","2","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","4"
"56","363",66231,"1","14,923","1","30,195","-1","23,293","1","25,149","1","28,498","1","22,195","1","24,054","1","17,943","-1","17,098","-1","18,159","4","2","1","2","4","4","2","2","1","4","3","2","2","1","5","1","4"
"57","442",58129,"1","28,117","-1","9,782","1","10,971","1","50,301","1","59,565","1","12,755","1","9,333","-1","11,033","1","30,234","-1","10,563","2","1","1","1","1","3","2","1","1","1","2","1","1","1","2","1","4"
"58","688",20095,"1","34,944","-1","25,153","-1","20,147","-1","58,7","1","49,57","1","41,796","-1","55,084","-1","47,289","-1","20,113","1","62,573","4","3","3","4","2","3","2","5","4","5","4","2","4","5","5","1","5"
"59","694",28754,"1","19,198","-1","45,62","1","80,768","1","43,138","1","126,992","1","40,21","1","26,668","-1","29,283","-1","29,972","1","34,253","3","2","2","1","2","2","1","4","1","4","4","2","3","1","4","1","5"
"60","1374",29007,"1","75,042","1","59,368","1","58,299","1","90,505","-1","214,546","1","56,64","1","80,027","-1","45,203","1","68,783","1","100,134","4","3","1","1","3","2","2","2","1","4","4","1","1","1","4","2","4"
"61","724",18687,"1","37,164","-1","32,915","-1","23,506","1","44,736","-1","30,391","-1","55,227","-1","42,218","-1","15,898","-1","47,192","-1","39,489","5","2","4","1","2","5","1","5","2","4","5","1","2","4","3","4","5"
"62","842",98339,"1","15,826","1","46,174","-1","48,138","1","151,441","-1","38,456","1","29,522","-1","36,172","-1","13,688","-1","27,154","1","75,038","4","2","2","2","3","4","4","2","3","5","4","4","2","4","5","2","5"
"63","371",61759,"-1","22,577","-1","18,14","-1","19,541","-1","21,208","-1","13,253","-1","25,833","-1","25,586","-1","20,037","-1","29,828","-1","20,238","5","5","4","5","5","5","4","4","5","5","5","5","4","5","5","2","3"
"64","255",37238,"1","3,761","1","5,787","1","5,128","1","6,189","-1","19,784","1","15,771","-1","38,099","-1","13,277","-1","6,923","1","8,982","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","1","4"
"65","764",94819,"1","43,434","1","36,163","1","18,422","1","23,246","1","102,68","1","21,359","-1","24,973","-1","25,092","1","34,247","-1","40,998","4","3","2","2","4","2","4","2","2","4","4","4","2","2","5","2","3"
"66","235",32422,"-1","1,178","-1","10,223","1","1,115","1","0,566","-1","1,795","1","17,273","-1","2,639","1","0,663","-1","21,374","1","18,776","4","4","5","5","4","3","4","4","3","4","4","3","4","3","3","2","4"
"67","799",32126,"1","22,447","1","17,149","1","40,199","-1","32,272","1","16,3","1","75,202","-1","14,407","-1","22,474","1","21,349","1","24,468","4","1","1","1","1","2","1","4","1","1","1","1","1","1","4","2","4"
"68","686",33219,"1","70,017","1","35,73","-1","44,01","1","33,657","1","49,759","1","35,7","1","22,658","1","36,687","-1","34,942","-1","35,788","2","2","2","2","2","2","2","2","1","3","3","2","2","2","3","1","4"
"69","645",56636,"1","40,503","1","49,356","1","31,232","1","37,482","1","37,986","1","33,581","1","28,861","1","25,552","-1","32,208","1","61,101","3","1","2","2","1","3","1","2","1","4","2","1","2","2","4","1","4"
"70","482",31640,"1","27,709","-1","29,216","1","18,154","1","10,26","-1","22,549","1","29,51","-1","45,771","1","11,766","1","46,854","1","35,593","3","2","2","1","1","2","2","3","1","4","3","2","1","1","2","1","5"
"71","591",23977,"-1","33,952","-1","33,117","-1","27,508","-1","30,756","-1","21,691","1","28,343","1","22,651","-1","40,812","1","22,63","1","24,576","5","4","5","2","2","5","2","5","4","5","5","2","2","5","2","1","5"
"72","322",93586,"1","20,797","1","3,741","1","1,764","1","5,629","-1","1,652","-1","7,13","-1","8,04","-1","2,69","-1","5,665","1","15,464","5","1","5","5","4","5","4","5","5","5","5","5","5","5","5","1","3"
"73","551",94627,"1","17,226","1","34,51","1","28,404","1","28,031","1","31,674","1","36,449","-1","29,091","1","26,226","-1","22,698","-1","42,176","2","2","2","2","3","1","1","3","2","4","3","2","2","2","4","1","4"
"74","877",54800,"-1","63,295","1","57,613","-1","1,944","-1","1,617","1","25,86","-1","33,717","-1","59,128","-1","33,398","-1","11,233","-1","71,546","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","1","5"
