"","Participant_ID","Q1_V1_IH","Q1_Time","Q2_V1_ID","Q2_Time","Q3_V2_IH","Q3_Time","Q4_V2_ID","Q4_Time","Q5_V3_IH","Q5_Time","Q6_V3_ID","Q6_Time","Q7_V4_IH","Q7_Time","Q8_V4_ID","Q8_Time","Q9_V5_IH","Q9_Time","Q10_V5_ID","Q10_Time","Q11_V6_IH","Q11_Time","Q12_V6_ID","Q12_Time","Q13_V7_IH","Q13_Time","Q14_V7_ID","Q14_Time","Q15_V8_IH","Q15_Time","Q16_V8_ID","Q16_Time","Q17_V9_IH","Q17_Time","Q18_V9_ID","Q18_Time","Q19_V10_IH","Q19_Time","Q20_V10_ID","Q20_Time","Total_Time"
"142",30271,"90","383,334","90","29,177","50","46,905","95","66,627","80","49,312","80","49,197","75","27,052","80","112,972","50","765,716","70","104,847","90","47,994","89","52,174","90","43,735","100","50,09","70","80,293","80","64,047","90","33,13","95","63,299","60","24,387","90","45,614","2900"
"143",94982,"85","21,868","65","26,269","20","31,253","60","338,74","70","38,14","80","106,926","55","986,487","50","59,132","45","91,602","90","39,523","30","13,963","40","177,544","80","93,091","55","37,353","55","27,023","70","162,844","90","24,366","70","25,149","80","14,255","80","33,342","2702"
"144",15978,"87","196,334","76","80,701","95","29,14","82","65,985","82","25,51","85","417,26","5","38,431","22","229,537","54","55,994","95","95,915","13","768,32","4","104,512","69","22,933","64","312,736","85","41,905","44","31,43","75","35,218","66","79,177","43","76,227","34","59,902","3249"
"145",87667,"91","48,908","90","45,501","61","73,879","90","67,851","93","34,536","91","24,72","65","92,902","90","70,973","91","42,658","91","39,541","22","42,189","9","124,625","61","25,416","62","39,134","18","26,966","18","26,175","88","58,353","92","54,589","52","29,596","51","31,299","2958"
"146",48894,"75","29,752","65","20,959","50","22,743","35","25,465","80","33,312","90","13,726","80","26,317","55","26,307","45","44,604","50","41,757","25","193,914","60","45,498","50","19,855","40","34,544","85","36,275","90","39,167","70","34,499","60","21,483","90","19,344","80","22,394","3249"
"147",92048,"93","24,093","13","17,592","84","15,718","67","38,635","87","26,139","95","5,939","71","11,31","42","39,105","72","19,557","85","15,566","91","13,207","75","24,773","84","22,553","85","6,303","81","10,527","81","7,322","73","9,767","74","23,033","94","17,411","86","22,058","681"
"148",86516,"70","15,915","86","8,236","81","28,791","71","18,276","87","12,04","95","13,702","50","38,994","60","24,679","56","19,6","88","22,637","54","21,992","48","9,038","69","12,478","44","7,899","42","6,358","39","22,867","62","32,737","71","15,275","90","8,734","51","11,757","520"
"149",57095,"76","29,559","60","39,18","68","37,49","81","39,217","76","56,604","76","64,51","56","55,477","61","50,574","76","27,002","70","40,013","45","35,873","60","35,207","71","49,778","55","47,099","42","32,584","83","49,112","61","41,845","80","31,196","50","2,989","50","72,568","1294"
"150",44970,"80","61,913","60","28,217","65","112,7","60","64,075","55","63,008","90","35,794","70","84,415","75","66,829","75","86,066","80","59,106","60","28,047","60","76,277","40","43,2","45","61,568","60","279,707","60","25,713","70","237,733","55","25,805","65","35,289","60","47,052","2334"
"151",18277,"82","6,487","83","12,29","60","8,602","88","14,302","81","21,295","84","9,709","59","29,388","79","11,952","82","10,353","58","13,619","16","15,345","75","14,558","83","7,125","71","19,791","59","11,509","53","17,647","69","10,058","60","20,595","58","13,01","59","6,44","502"
"152",43846,"95","22,578","75","16,044","95","24,073","95","33,391","100","93,456","80","20,496","90","41,032","90","28,59","70","63,48","100","26,619","80","42,3","85","21,136","95","23,681","95","29,136","95","20,248","85","42,151","100","19,917","100","112,28","90","36,757","85","96,634","1239"
"153",33858,"54","0,405","38","0,45","54","0,142","55","1,089","38","0,222","72","2,067","44","0,144","54","0,801","54","1,032","59","11,529","54","0,445","53","0,407","61","0,362","37","0,532","85","0,017","55","0,134","51","0,8","68","3,64","57","0,813","52","0,672","194"
"154",94757,"66","23,236","61","12,149","75","15,972","85","17,673","95","12,607","91","10,834","53","5,153","61","8,189","62","3,382","77","17,769","69","1,316","56","67,302","71","12,347","81","14,399","81","5,167","66","12,654","75","15,992","81","18,336","71","11,348","92","5,29","457"
"155",11349,"78","59,039","94","8,317","70","10,484","81","59,566","94","5,942","75","8,952","92","9,952","86","4,41","84","19,916","84","45,195","43","46,392","55","9,779","84","4,629","60","7,32","52","47,439","51","19,451","83","8,08","85","10,112","92","7,06","54","8,861","638"
"156",10702,"92","21,077","91","22,49","36","33,176","76","20,291","85","17,83","81","17,896","96","20,652","94","13,184","65","18,579","50","31,275","30","22,188","39","15,949","73","11,077","71","39,972","61","18,172","54","14,083","87","21,672","73","13,831","81","29,76","85","8,466","760"
"157",84002,"94","15,217","70","2,084","75","1,396","76","4,586","76","3,449","60","12,021","75","306,297","72","13,821","58","3,819","66","1,487","38","21,195","42","22,748","100","62,39","76","12,1","87","26,992","90","4,338","89","4,68","77","34,729","90","13,124","81","30,243","862"
"158",26471,"66","25,905","65","1,524","29","43,131","39","11,059","58","3,377","58","4,566","37","2,595","52","1,925","62","1,99","56","18,359","32","1,679","71","1,085","37","1,256","48","5,509","73","62,395","66","8,152","55","4,63","50","1,783","50","8,811","46","7,727","857"
